,County,State,Population
815,Buena Vista,Iowa,19620
816,Butler,Iowa,14439
817,Calhoun,Iowa,9668
818,Carroll County,Iowa,20165
819,Cass,Iowa,12836
820,Cedar,Iowa,18627
821,Cerro Gordo,Iowa,42450
822,Cherokee,Iowa,11235
823,Chickasaw,Iowa,11933
824,Clarke,Iowa,9395
825,Clay County,Iowa,16016
826,Clayton,Iowa,17549
827,Clinton,Iowa,46429
828,Crawford,Iowa,16820
829,Dallas,Iowa,93453
830,Davis County,Iowa,9000
831,Decatur,Iowa,7870
832,Delaware County,Iowa,17011
833,Des Moines,Iowa,38967
834,Dickinson,Iowa,17258
835,Dubuque,Iowa,97311
836,Emmet,Iowa,9208
837,Fayette,Iowa,19650
838,Floyd,Iowa,15642
839,Franklin,Iowa,10070
840,Fremont,Iowa,6960
841,Greene,Iowa,8888
842,Grundy,Iowa,12232
843,Guthrie,Iowa,10689
844,Hamilton,Iowa,14773
845,Hancock,Iowa,10630
846,Hardin County,Iowa,16846
847,Harrison,Iowa,14049
848,Henry,Iowa,19954
849,Ward,Iowa,9158
850,Humboldt,Iowa,9558
851,Ida County,Iowa,6860
852,Iowa County,Iowa,16184
853,Jack,Iowa,19439
854,Jasper,Iowa,37185
855,Jefferson,Iowa,18295
856,Johnson,Iowa,151140
857,Jones,Iowa,20681
858,Keokuk,Iowa,10246
859,Kossuth,Iowa,14813
860,Lee,Iowa,33657
861,Linn,Iowa,226706
862,Louisa,Iowa,11035
863,Lucas,Iowa,8600
864,Lyon,Iowa,11755
865,Madison County,Iowa,16338
866,Mahaska,Iowa,22095
867,Marion,Iowa,33253
868,Hall,Iowa,39369
869,Mills County,Iowa,15109
870,Mitchell,Iowa,10586
871,Monona,Iowa,8615
872,Monroe,Iowa,7707
873,Montgomery,Iowa,9917
874,Muscatine,Iowa,42664
875,O'Brien,Iowa,13753
876,Osceola,Iowa,5958
877,Page,Iowa,15107
878,Palo Alto,Iowa,8886
879,Plymouth,Iowa,25177
880,Pocahontas,Iowa,6619
881,Polk,Iowa,490161
882,Pottawattamie,Iowa,93206
883,Poweshiek,Iowa,18504
884,Ringgold County,Iowa,4894
885,Sac County,Iowa,9721
886,Scott,Iowa,172943
887,Shelby,Iowa,11454
888,Sioux,Iowa,34855
889,Story,Iowa,97117
890,Tama,Iowa,16854
891,Taylor,Iowa,6121
892,Union County,Iowa,12241
893,Van Buren,Iowa,7044
894,Wapello,Iowa,34969
895,Warren,Iowa,51466
896,Washington County,Iowa,21965
897,Wayne,Iowa,6441
898,Webster,Iowa,35904
899,Winnebago,Iowa,10354
900,Winn,Iowa,19991
901,Woodbury,Iowa,103107
902,Worth,Iowa,7381
903,Wright,Iowa,12562
904,Kansas,Kansas,2913314
905,Allen,Kansas,12369
906,Anderson,Kansas,7858
907,Atchison,Kansas,16073
908,Barber,Kansas,4427
909,Barton,Kansas,25779
910,Bourbon,Kansas,14534
911,Brown,Kansas,9564
912,Butler,Kansas,66911
913,Chase,Kansas,2648
914,Chautauqua,Kansas,3250
915,Cherokee,Kansas,19939
916,Cheyenne,Kansas,2657
917,Clark County,Kansas,1994
918,Clay County,Kansas,8002
